Title,URL,Price,Ratings
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN",https://www.amazon.in/Lenovo-Celeron-1920x1080-Antiglare-82QYA00MIN/dp/B0C28FKJXG/ref=sr_1_27?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-27,"24,490",3.7 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN",https://www.amazon.in/Lenovo-Celeron-1920x1080-Antiglare-82QYA00MIN/dp/B0C28FKJXG/ref=sr_1_27?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-27,"24,490",3.7 out of 5 stars
Information not available,Information not available,"24,490",Information not available
Information not available,Information not available,Information not available,Information not available
"(Renewed) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Touchscreen Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics)",https://www.amazon.in/Lenovo-ThinkPad-Touchscreen-Bluetooth-Graphics/dp/B0CBKT2ZMQ/ref=sr_1_28?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-28,"23,999",3.7 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"(Renewed) Lenovo ThinkPad T470 7th Gen Intel Core i5 Thin & Light HD Touchscreen Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Bluetooth 4.1/Webcam/Intel Graphics)",https://www.amazon.in/Lenovo-ThinkPad-Touchscreen-Bluetooth-Graphics/dp/B0CBKT2ZMQ/ref=sr_1_28?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-28,"23,999",3.7 out of 5 stars
Information not available,Information not available,"23,999",Information not available
Information not available,Information not available,Information not available,Information not available
"HONOR [Smart Choice] MagicBook X14, 11th Gen Intel Core i5-1135G7, 14"" (35.56 cm) FHD IPS Anti-Glare T&L Laptop (8GB/512GB PCIe SSD/Windows 11/Backlit Keyboard/Fingerprint Login/1.38Kg), Space Gray",https://www.amazon.in/Honor-MagicBook-i5-1135G7-Anti-Glare-Fingerprint/dp/B0BPH1VXTX/ref=sr_1_29?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-29,"43,990",4.2 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"HONOR [Smart Choice] MagicBook X14, 11th Gen Intel Core i5-1135G7, 14"" (35.56 cm) FHD IPS Anti-Glare T&L Laptop (8GB/512GB PCIe SSD/Windows 11/Backlit Keyboard/Fingerprint Login/1.38Kg), Space Gray",https://www.amazon.in/Honor-MagicBook-i5-1135G7-Anti-Glare-Fingerprint/dp/B0BPH1VXTX/ref=sr_1_29?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-29,"43,990",4.2 out of 5 stars
Information not available,Information not available,"43,990",Information not available
Information not available,Information not available,Information not available,Information not available
"Acer Aspire 5 13th Gen Intel Core i5 (16 GB RAM/512 GB SSD/Windows 11 Home/MS Office), A515-58M 15.6"" Full HD IPS 45% NTSC Display, Steel Gray, 1.75 KG",https://www.amazon.in/Acer-Aspire-Windows-A515-58M-Display/dp/B0C5D32X14/ref=sr_1_30?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-30,"56,990",5.0 out of 5 stars
Information not available,Information not available,Information not available,Information not available
"Acer Aspire 5 13th Gen Intel Core i5 (16 GB RAM/512 GB SSD/Windows 11 Home/MS Office), A515-58M 15.6"" Full HD IPS 45% NTSC Display, Steel Gray, 1.75 KG",https://www.amazon.in/Acer-Aspire-Windows-A515-58M-Display/dp/B0C5D32X14/ref=sr_1_30?crid=VNQDLBEWRZZN&keywords=laptops&qid=1692727883&sprefix=laptop%2Caps%2C227&sr=8-30,"56,990",5.0 out of 5 stars
Information not available,Information not available,"56,990",Information not available
Information not available,Information not available,Information not available,Information not available
